commission_bps,slippage_bps,total_return,cagr,sharpe,max_drawdown,calmar_ratio,num_trades
0.0,0.0,0.25223512039999985,0.1374292719014396,1.1456886416058305,-0.060189599026235524,2.283272760158059,34
0.0,5.0,0.24995947776682223,0.13624546479711364,1.1365813287284334,-0.06021316174894509,2.2627189943152355,34
0.0,10.0,0.2476259680306891,0.13503059756881575,1.1277818223652998,-0.06025031874511822,2.2411598873036103,34
0.0,20.0,0.24268198755386478,0.1324534584539867,1.1099193761495436,-0.060051975120153506,2.205646994773619,34
10.0,0.0,0.2476259680306891,0.13503059756881575,1.1277818223653049,-0.06025031874511823,2.24115988730361,34
10.0,5.0,0.24503586468494487,0.13368100501923164,1.118575504370122,-0.060020795808890415,2.2272447943689295,34
10.0,10.0,0.24268171400595812,0.132453315741057,1.1099178659314413,-0.06005197067790721,2.2056447814423823,34
10.0,20.0,0.2377116862878359,0.12985817699366442,1.0904686051078087,-0.0601518862783081,2.1588379854430886,34
20.0,0.0,0.24268198755386478,0.1324534584539867,1.1099193761495396,-0.06005197512015362,2.205646994773615,34
20.0,5.0,0.24007926187998374,0.13109497959868288,1.1003608294084004,-0.0600625699739928,2.182640197638017,34
20.0,10.0,0.23771168628783632,0.12985817699366464,1.0904686051078096,-0.06015188627830809,2.1588379854430926,34
20.0,20.0,0.23277983040252617,0.12727856246568892,1.0703326217392302,-0.06026937735508591,2.111828063459301,34
39.0,0.0,0.23334494391015012,0.12757436944340883,1.0726168108145606,-0.06024495705519206,2.117594163550228,34
39.0,5.0,0.23104945066086893,0.12637243964928646,1.0633196204402016,-0.060305901287496494,2.095523604677273,34
39.0,10.0,0.2287598767818975,0.1251726544575451,1.054874582962062,-0.06029329185731477,2.076062702858696,34
39.0,20.0,0.22379787045357458,0.12256917327242789,1.0346398007452768,-0.06039469695411536,2.029469133118581,34
60.0,0.0,0.2234841670163681,0.12240442683179209,1.0334071881461526,-0.06037961544937502,2.027247539104012,34
60.0,5.0,0.2212350979880129,0.12122276253795983,1.024186898990899,-0.06047297231926169,2.004577547436812,34
60.0,10.0,0.2190428837319437,0.12007007413495985,1.0154118734300916,-0.06049414440094904,1.9848214289824087,34
60.0,20.0,0.21346076883101398,0.1171309337155566,0.9929552979125856,-0.06056626865534466,1.9339301613922424,34
80.0,0.0,0.21346396803331913,0.11713261983890688,0.9929727322099433,-0.06056631579127457,1.9339564955968724,34
80.0,5.0,0.21143737876735896,0.11606413524330272,0.9851326624568248,-0.06050021936373464,1.9184085027115538,34
80.0,10.0,0.20925405394022276,0.11491215905863505,0.975750251278642,-0.06059328731996673,1.896450318858491,34
80.0,20.0,0.20459995585988444,0.11245356984576782,0.9581621109679616,-0.06045771702520074,1.860036656675169,34
100.0,0.0,0.20460414971522636,0.11245578713179483,0.95818494100953,-0.060457785468245005,1.8600712259112002,34
100.0,5.0,0.20194434470699596,0.11104888822042502,0.9477520795625892,-0.06046965610077321,1.8364398837552685,34
100.0,10.0,0.19958912147755503,0.10980198579418632,0.9396206449422096,-0.06062117804932474,1.8112809636402207,34
100.0,20.0,0.195169376254058,0.10745925570805936,0.9232060487821915,-0.060756675214720925,1.7686822942217668,34
,,0.30852026368048113,0.1664225143864293,0.8231574618556367,-0.17374876452413768,0.9578342317554115,0
