scheme,w_trend,w_momentum,w_mean_reversion,w_volatility,train_total_return,test_total_return,test_sharpe,test_max_drawdown,test_calmar_ratio,test_num_trades
baseline,1.3,1.0,0.8,0.5,,0.23104945066086893,1.0633196204402016,-0.060305901287496494,2.095523604677273,34
trend_x0.5,0.65,1.0,0.8,0.5,,0.2247590705785778,1.1639321105231497,-0.04934613564081742,2.4940929844789914,37
trend_x0.75,0.975,1.0,0.8,0.5,,0.29630765513605445,1.3815317287778583,-0.053016748331125844,3.0212651195984055,35
trend_x1.25,1.625,1.0,0.8,0.5,,0.1914012327997302,0.8858280871520977,-0.06862838618061833,1.536667158708267,33
trend_x1.5,1.95,1.0,0.8,0.5,,0.19401596223592035,0.8806547147280337,-0.07546957699020022,1.415766091063316,34
momentum_x0.5,1.3,0.5,0.8,0.5,,0.2927416668119676,1.3238209608729137,-0.05405016827609275,2.9296756477795256,27
momentum_x0.75,1.3,0.75,0.8,0.5,,0.24322985720814577,1.1176219126483726,-0.05793522561705169,2.291166724153318,31
momentum_x1.25,1.3,1.25,0.8,0.5,,0.20523826389876262,0.9767731667850951,-0.057377625562517076,1.9657663319284846,42
momentum_x1.5,1.3,1.5,0.8,0.5,,0.13911525702449512,0.7049250591140052,-0.09674119452472503,0.8002670906844486,52
mean_reversion_x0.5,1.3,1.0,0.4,0.5,,0.21489323481557962,0.8772918912183508,-0.06977134169738781,1.6896008419528297,14
mean_reversion_x0.75,1.3,1.0,0.6,0.5,,0.17324398011916523,0.7338121399058016,-0.06722144327271687,1.4248770469095202,19
mean_reversion_x1.25,1.3,1.0,1.0,0.5,,0.23542302197891518,1.0622386425516,-0.0647086710932459,1.988321395962629,45
mean_reversion_x1.5,1.3,1.0,1.2,0.5,,0.2643757140483393,1.186460894825559,-0.0641871496555529,2.2392243115031722,56
volatility_x0.5,1.3,1.0,0.8,0.25,,0.23104945066086893,1.0633196204402016,-0.060305901287496494,2.095523604677273,34
volatility_x0.75,1.3,1.0,0.8,0.375,,0.23104945066086893,1.0633196204402016,-0.060305901287496494,2.095523604677273,34
volatility_x1.25,1.3,1.0,0.8,0.625,,0.23104945066086893,1.0633196204402016,-0.060305901287496494,2.095523604677273,34
volatility_x1.5,1.3,1.0,0.8,0.75,,0.23104945066086893,1.0633196204402016,-0.060305901287496494,2.095523604677273,34
equal,1.0,1.0,1.0,1.0,,0.25095767563671584,1.1593419606705826,-0.05882291178662458,2.3250268360652506,45
inverted,0.5,0.8,1.0,1.3,,0.2347358500649489,1.2284577447311071,-0.05129743304725531,2.501142470119618,42
optimized_train,1.3,0.8,0.8,0.5,0.594585665333049,0.25196112524635345,1.1803750762950627,-0.05404963199365973,2.540013338549253,34
inverse_variance,1.0198,1.0,1.0036,0.9757,,0.2488167546860253,1.156059992394121,-0.058722057762394766,2.310046156291883,46
