mode,min_confidence,total_return,cagr,max_drawdown,sharpe,calmar_ratio,num_trades,win_rate
passive,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
passive,0.05,0.0,0.0,0.0,0.0,0.0,0,0.0
passive,0.1,0.0,0.0,0.0,0.0,0.0,0,0.0
passive,0.15,0.0,0.0,0.0,0.0,0.0,0,0.0
passive,0.2,0.0,0.0,0.0,0.0,0.0,0,0.0
passive,0.25,0.0,0.0,0.0,0.0,0.0,0,0.0
passive,0.3,0.0,0.0,0.0,0.0,0.0,0,0.0
balanced,0.0,0.051946646420827164,0.016518593054429376,-0.0526414055337114,0.4386080978965137,0.31379468095415725,0,0.0
balanced,0.05,0.0888508093402705,0.027921325526796048,-0.06527282936746241,0.5920292964160846,0.4277633710285345,0,0.0
balanced,0.1,0.08759059027279625,0.02753628723724999,-0.06527282936746241,0.6321971087282499,0.4218644649557116,0,0.0
balanced,0.15,0.108635288432394,0.03392700276309846,-0.046668738001566616,0.8823924606609082,0.7269749347402444,0,0.0
balanced,0.2,0.23167323063807604,0.06973641012613085,-0.06333950511893993,1.203974840800207,1.1009939214898934,1,0.0
balanced,0.25,0.15908265500898808,0.04891926322096163,-0.06333950511893993,0.8771576282772788,0.7723341558968649,1,0.0
balanced,0.3,0.2775739103656239,0.08247437780699562,-0.0751763068072211,1.1079897290461678,1.0970794032019875,1,0.0
aggressive,0.0,0.4674546139457996,0.13210420294643987,-0.13039162611615457,1.2224264509359308,1.0131341013322415,49,0.6326530612244898
aggressive,0.05,0.5526071044678983,0.15295285314013096,-0.11458942543607523,1.4016418457977302,1.3347902963826024,54,0.6296296296296297
aggressive,0.1,0.48819575531059906,0.13725632038472035,-0.1244467370820889,1.2841214998647237,1.1029322552200131,63,0.6666666666666666
aggressive,0.15,0.402231608358401,0.11557454425564884,-0.1285720660288926,1.1458587894011676,0.8989086651969723,77,0.6883116883116883
aggressive,0.2,0.28284810702536284,0.08391808371825449,-0.12973304842987127,0.9041388732577497,0.6468520144550323,79,0.6835443037974683
aggressive,0.25,0.24595034372033203,0.07373238571857921,-0.11786320282995146,0.8244841825804363,0.6255759554146639,80,0.6625
aggressive,0.3,0.23022964616136843,0.0693306288436184,-0.1246226005871415,0.738564531754199,0.556324683620604,80,0.6625
