series,total_return,cagr,sharpe,max_drawdown,calmar_ratio,downside_deviation,sortino,ulcer_index,martin_ratio,leverage,strategy_vol_annual_train,target_vol_annual_oos
ensemble_oos,0.23104945066086893,0.12637243964928646,1.063319620440201,-0.06030590128749649,2.0955236046772736,0.07973679890818372,1.600646732749958,2.3906032459004494,5.286215513427313,,,
buy_and_hold_oos,0.30852026368048113,0.1664225143864293,0.8231574618556367,-0.17374876452413768,0.9578342317554115,0.15106428280140174,1.1890827006598514,6.687169957567694,2.488683784656816,,,
ensemble_oos_vol_scaled,0.4940626997433937,0.2588717729868548,1.0633196204402011,-0.12160473977824741,2.1287967348881383,0.16457002007180307,1.626253557300504,4.95819440749669,5.3166145986356765,2.0624833674365455,0.10580360845686804,0.21821818265705895
