comparison,statistic,observed_diff,p_value,n_days
ensemble_vs_gbm,total_return,0.18828295885867963,0.10718928107189281,435
ensemble_vs_gbm,sharpe,0.5964990859220382,0.2096790320967903,435
gbm_vs_buy_and_hold,total_return,-0.26575377187829274,0.8201179882011799,435
gbm_vs_buy_and_hold,sharpe,-0.3563369273374739,0.7073292670732927,435
gbm_vs_lstm,total_return,-0.04185249014682224,0.6214378562143785,435
gbm_vs_lstm,sharpe,0.027286123167016285,0.47725227477252274,435
