fold_index,train_start,train_end,test_start,test_end,selected_mode,selected_min_confidence,train_total_return,train_cagr,train_max_drawdown,train_sharpe,train_calmar_ratio,train_num_trades,train_win_rate,test_total_return,test_cagr,test_max_drawdown,test_sharpe,test_calmar_ratio,test_num_trades,test_win_rate
0,2021-05-26,2024-06-28,2024-07-01,2025-01-30,aggressive,0.05,0.5526071044678983,0.15295285314013096,-0.11458942543607523,1.4016418457977302,1.3347902963826024,54,0.6296296296296297,0.0468426200516175,0.08166404398252314,-0.05793477707705015,0.6542407308267477,1.4095858843801943,9,0.3333333333333333
1,2021-05-26,2025-01-30,2025-01-31,2025-08-29,aggressive,0.05,0.5242508549827734,0.12127219768594455,-0.11458942543607523,1.0789422198873866,1.0583192753121655,66,0.6060606060606061,0.09309512799214165,0.1674471658102119,-0.04909567265298011,1.388879275259801,3.4106298327709714,9,1.0
2,2021-05-26,2025-08-29,2025-09-01,2026-03-31,aggressive,0.1,0.696194677866245,0.13205186009397551,-0.1244467370820889,1.172473149618316,1.0611114697757806,96,0.6979166666666666,0.08397946939558784,0.1498016909087878,-0.03886704969022995,1.36160915122675,3.854207924262479,7,0.7142857142857143
