comparison,point,ci_low,ci_high,p_value
ensemble_total_return_ci,0.23104945066086535,-0.09661840110748705,0.6778268922263704,
ensemble_sharpe_ci,1.063319620440201,-0.4337981570739782,2.5678475424394813,
ensemble_vs_bh_total_return,-0.07747081301961312,,,0.6364363563643636
ensemble_vs_bh_sharpe,0.24016215858456424,,,0.296970302969703
ensemble_vs_only_rsi_total_return,0.06720280457297778,,,0.26847315268473154
ensemble_vs_only_rsi_sharpe,0.032550433329036954,,,0.4707529247075293
