objective,selected_mode,selected_min_confidence,train_objective_value,train_total_return,train_sharpe,train_num_trades,test_total_return,test_sharpe,test_max_drawdown,test_calmar_ratio,test_num_trades
total_return,aggressive,0.05,0.5526071044678983,0.5526071044678983,1.4016418457977302,54,0.23104945066086893,1.0633196204402016,-0.060305901287496494,2.095523604677273,34
sharpe,aggressive,0.05,1.4016418457977302,0.5526071044678983,1.4016418457977302,54,0.23104945066086893,1.0633196204402016,-0.060305901287496494,2.095523604677273,34
calmar_ratio,aggressive,0.05,1.3347902963826024,0.5526071044678983,1.4016418457977302,54,0.23104945066086893,1.0633196204402016,-0.060305901287496494,2.095523604677273,34
