Date,Open,High,Low,Close,Volume
2021-05-26,2156.44,2172.5,2143.24,2164.89,33872897.0
2021-05-27,2167.52,2208.23,2165.53,2207.47,45274348.0
2021-05-28,2210.53,2237.01,2210.53,2236.31,27207857.0
2021-05-31,2237.25,2250.45,2227.27,2233.36,16710681.0
2021-06-01,2234.87,2268.18,2226.59,2233.37,23316200.0
2021-06-02,2234.69,2253.32,2233.99,2252.26,24449542.0
2021-06-04,2252.84,2261.39,2230.69,2254.59,25159845.0
2021-06-07,2254.62,2273.28,2245.49,2246.63,21167875.0
2021-06-08,2241.03,2247.11,2223.2,2237.61,25075401.0
2021-06-09,2239.73,2245.08,2215.18,2218.45,21212349.0
2021-06-10,2217.7,2242.7,2210.07,2236.89,22443207.0
2021-06-11,2238.75,2239.3,2224.15,2224.67,17318263.0
2021-06-14,2229.99,2253.2,2228.81,2253.2,12595787.0
2021-06-15,2262.55,2269.21,2230.1,2230.37,22220763.0
2021-06-16,2232.65,2244.07,2225.14,2225.27,24201593.0
2021-06-17,2215.45,2221.62,2204.74,2211.58,23153328.0
2021-06-18,2208.65,2224.42,2203.47,2220.68,50664709.0
2021-06-21,2210.86,2223.35,2189.24,2219.45,13477870.0
2021-06-22,2226.22,2234.65,2204.52,2220.53,17203459.0
2021-06-23,2222.93,2238.66,2217.36,2233.7,12351867.0
2021-06-24,2237.56,2276.77,2233.03,2273.11,21554467.0
2021-06-25,2271.93,2291.37,2269.55,2282.46,18348780.0
2021-06-28,2280.67,2293.02,2260.4,2285.81,14426441.0
2021-06-29,2281.71,2283.15,2251.62,2258.24,20798623.0
2021-06-30,2257.62,2264.36,2218.41,2218.41,30173446.0
2021-07-01,2223.84,2255.33,2223.84,2250.58,26314023.0
2021-07-02,2258.56,2269.4,2249.91,2252.18,15005220.0
2021-07-05,2255.07,2264.33,2254.01,2258.82,11132054.0
2021-07-06,2262.83,2268.55,2228.46,2228.46,15379686.0
2021-07-07,2234.52,2292.49,2234.52,2285.79,24212292.0
2021-07-08,2280.62,2280.62,2230.62,2234.6,23271241.0
2021-07-09,2241.61,2258.77,2233.98,2251.78,14565701.0
2021-07-12,2253.56,2262.35,2244.1,2255.48,17277109.0
2021-07-13,2259.0,2279.4,2258.36,2264.26,16105173.0
2021-07-14,2266.88,2280.19,2262.99,2268.57,17337649.0
2021-07-15,2268.01,2281.76,2255.35,2260.49,15890564.0
2021-07-16,2260.8,2272.02,2253.48,2258.1,13641051.0
2021-07-19,2254.48,2254.48,2196.01,2205.86,19846274.0
2021-07-20,2210.63,2223.97,2198.29,2221.28,17111977.0
2021-07-21,2215.48,2254.33,2215.48,2241.97,17379197.0
2021-07-22,2247.69,2252.95,2226.21,2229.86,10955990.0
2021-07-23,2234.32,2243.32,2232.83,2242.41,15031889.0
2021-07-26,2249.57,2250.75,2221.14,2240.65,12551639.0
2021-07-27,2241.05,2241.05,2214.24,2224.59,10721069.0
2021-07-28,2223.2,2249.22,2217.76,2245.76,13816872.0
2021-07-29,2257.08,2268.3,2257.08,2265.69,16331619.0
2021-07-30,2254.07,2258.76,2244.23,2253.45,22442567.0
2021-08-02,2261.61,2266.44,2248.02,2253.28,11744901.0
2021-08-03,2261.94,2272.82,2249.63,2257.73,15649057.0
2021-08-04,2262.05,2280.65,2261.6,2272.09,12490010.0
2021-08-05,2270.83,2275.58,2259.76,2270.67,15519749.0
2021-08-06,2272.53,2276.0,2255.61,2273.89,14713184.0
2021-08-09,2271.56,2279.9,2267.14,2274.48,10389346.0
2021-08-10,2275.63,2284.79,2268.38,2277.23,12813345.0
2021-08-11,2272.93,2283.69,2261.47,2283.69,16177824.0
2021-08-12,2281.08,2297.72,2277.19,2297.72,16571243.0
2021-08-13,2298.99,2302.1,2290.22,2302.03,11448729.0
2021-08-16,2289.95,2297.14,2280.31,2282.1,10658701.0
2021-08-17,2282.7,2300.04,2279.19,2300.04,15600846.0
2021-08-18,2300.19,2301.58,2275.03,2284.97,13451422.0
2021-08-19,2270.18,2270.95,2240.78,2260.02,19682281.0
2021-08-20,2263.51,2263.51,2247.35,2255.56,14205373.0
2021-08-23,2264.45,2290.92,2264.45,2287.52,21319939.0
2021-08-24,2293.79,2300.9,2282.35,2300.9,15731511.0
2021-08-25,2297.64,2325.19,2291.03,2325.19,13890857.0
2021-08-26,2321.75,2326.62,2307.66,2309.44,10053150.0
2021-08-27,2310.63,2323.77,2295.89,2323.77,11842111.0
2021-08-30,2324.67,2350.93,2324.67,2350.23,13726563.0
2021-08-31,2347.73,2379.63,2347.73,2368.03,30995839.0
2021-09-01,2367.66,2387.46,2367.66,2371.16,17987921.0
2021-09-02,2375.04,2391.94,2363.26,2391.94,18960025.0
2021-09-03,2392.26,2393.71,2370.71,2380.82,14360842.0
2021-09-06,2379.29,2416.38,2379.29,2416.38,13169381.0
