commission_bps,slippage_bps,total_return,cagr,sharpe,max_drawdown,calmar_ratio,num_trades
0.0,0.0,0.14706884454959274,0.08171913608589554,1.4312225400843628,-0.06578456858733062,1.2422234855490675,55
0.0,5.0,0.1432054320544646,0.07963186571008785,1.39485008655105,-0.06618799158372272,1.2031165141090534,55
0.0,10.0,0.14065646893922581,0.07825309621275345,1.3742175067100426,-0.06627152496221006,1.1807951643994254,55
0.0,20.0,0.13054271353872635,0.07276939668279048,1.2837044305696124,-0.06710295329974737,1.0844440237634734,55
10.0,0.0,0.14067557672010697,0.07826343677347625,1.374403584882894,-0.0662695298845029,1.1809867507718372,55
10.0,5.0,0.1363453811733363,0.07591816761778158,1.3332023829805775,-0.06668365544486937,1.1384823928938155,55
10.0,10.0,0.1305612824018552,0.07277948393168154,1.283886352351709,-0.06710092050840057,1.0846272060093431,55
10.0,20.0,0.12286061092908293,0.06859011698482886,1.209979519906619,-0.06789765307246043,1.0101986428253924,55
20.0,0.0,0.13058062679306734,0.07278999239893147,1.2840755442472007,-0.06709894164986296,1.084815804975966,55
20.0,5.0,0.1267327576264397,0.07069819622799978,1.2474652281864587,-0.06747113505183876,1.0478287666819541,55
20.0,10.0,0.12287951473237875,0.06860041616079782,1.2101646367075765,-0.0678956368233059,1.0103803332653916,55
20.0,20.0,0.09903661679051524,0.055550805279303006,0.9968484368968887,-0.06794885997026325,0.817538444406778,55
39.0,0.0,0.09978818845867345,0.05596398924393298,1.004326905741797,-0.06786224300156986,0.8246704908153177,55
39.0,5.0,0.09763099829632539,0.054777728244776336,0.9867462386309358,-0.06694328073133957,0.8182707457170094,55
39.0,10.0,0.09348881861414894,0.05249710324234558,0.9466834736600042,-0.06735902212333594,0.7793626093060282,55
39.0,20.0,0.09048271723832209,0.050839673246821926,0.9277277235975603,-0.06515663129295325,0.7802685964263515,55
60.0,0.0,0.08973521756148832,0.05042723220122358,0.9204448776646739,-0.06522898288253946,0.773080155059753,55
60.0,5.0,0.086318989966552,0.0485407501120958,0.8870590700162337,-0.06560962370624542,0.7398419221153859,55
60.0,10.0,0.08274676977046126,0.04656541243758827,0.8510956631810086,-0.06599120577136779,0.7056305744574232,55
60.0,20.0,0.07512687384113848,0.042342490225374396,0.7755719513471314,-0.06676543864238779,0.6341977389255428,55
80.0,0.0,0.07516750889489553,0.04236504391502738,0.7759823426072747,-0.0667620497040131,0.6345677537291189,55
80.0,5.0,0.07151170252596792,0.04033449954187418,0.7393787821252762,-0.06714418841134454,0.6007146783095133,55
80.0,10.0,0.06684305436281925,0.037737081207196654,0.6929250908262288,-0.06752727625596693,0.5588420457557265,55
80.0,20.0,0.059497013495790715,0.033640226720941024,0.61916525554128,-0.06829631353682504,0.49256284825391605,55
100.0,0.0,0.059538881630305664,0.03366361073988,0.6195865687300676,-0.06829297428143133,0.4929293400102072,55
100.0,5.0,0.055804384571903495,0.03157627829751086,0.582370619149275,-0.06868202367544646,0.4597458928514253,55
100.0,10.0,0.05224591337617468,0.029584393778070206,0.5467577284192764,-0.06901795444928542,0.4286477919279526,55
100.0,20.0,0.04640896867033364,0.02631086745540956,0.48903856042617205,-0.06979244168255955,0.37698734735604456,55
,,0.2460816774338906,0.13422607784634177,1.1260193341194067,-0.13434656211991242,0.9991031830538164,0
