comparison,point,ci_low,ci_high,p_value
ensemble_total_return_ci,0.14066592451237225,-0.013863239147541402,0.3161719953904875,
ensemble_sharpe_ci,1.3743096255582112,-0.11028782787477778,2.936978954006934,
ensemble_vs_bh_total_return,-0.1054157529215205,,,0.7892210778922107
ensemble_vs_bh_sharpe,0.24829029143880454,,,0.33096690330966905
ensemble_vs_only_macd_total_return,-0.011289247192852292,,,0.5574442555744425
ensemble_vs_only_macd_sharpe,-0.3090256950887129,,,0.6557344265573443
