series,regime,days,total_return,sharpe,share
ensemble,bull,401,0.1409691017391077,1.8213048563467158,0.9031531531531531
ensemble,correction,5,-0.01850885269381941,-5.114720988816931,0.01126126126126126
ensemble,sideways,38,0.01858716066167565,1.2831236045106569,0.08558558558558559
ensemble,all,444,0.14066592451237225,1.3743096255582112,1.0
buy_and_hold,bull,401,0.30374798344023546,1.8600782121039372,0.9031531531531531
buy_and_hold,correction,5,-0.011272529540731102,-0.8635007855144972,0.01126126126126126
buy_and_hold,sideways,38,-0.03333440918119368,-1.001520692501717,0.08558558558558559
buy_and_hold,all,444,0.24608167743389275,1.1260193341194065,1.0
