mode,min_confidence,total_return,cagr,max_drawdown,sharpe,calmar_ratio,num_trades,win_rate
passive,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
passive,0.05,0.0,0.0,0.0,0.0,0.0,0,0.0
passive,0.1,0.0,0.0,0.0,0.0,0.0,0,0.0
passive,0.15,0.0,0.0,0.0,0.0,0.0,0,0.0
passive,0.2,0.0,0.0,0.0,0.0,0.0,0,0.0
passive,0.25,0.0,0.0,0.0,0.0,0.0,0,0.0
passive,0.3,0.0,0.0,0.0,0.0,0.0,0,0.0
balanced,0.0,-0.01054233791692488,-0.0043942189990140434,-0.026002038578579603,-0.2308779936779403,-0.1689951726567311,0,0.0
balanced,0.05,-0.01054233791692488,-0.0043942189990140434,-0.026002038578579603,-0.2308779936779403,-0.1689951726567311,0,0.0
balanced,0.1,-0.0028338294639000377,-0.0011785149876997192,-0.01588486536313672,-0.1528003202045207,-0.07419105927297596,0,0.0
balanced,0.15,-0.009383671217925002,-0.003909933444986802,-0.016748131089839653,-0.3256541806992939,-0.23345491052185427,0,0.0
balanced,0.2,-0.009383671217925002,-0.003909933444986802,-0.016748131089839653,-0.3256541806992939,-0.23345491052185427,0,0.0
balanced,0.25,-0.009383671217925002,-0.003909933444986802,-0.016748131089839653,-0.3256541806992939,-0.23345491052185427,0,0.0
balanced,0.3,-0.009383671217925002,-0.003909933444986802,-0.016748131089839653,-0.3256541806992939,-0.23345491052185427,0,0.0
aggressive,0.0,0.004316215321542113,0.0017912555737258362,-0.07954064160369377,0.060342198527524545,0.022520004083580996,48,0.5833333333333334
aggressive,0.05,0.01406955327055708,0.005822446749034427,-0.09134852858324309,0.11909955579454691,0.06373881264796302,50,0.66
aggressive,0.1,0.005377945220444817,0.0022311900942824092,-0.08062487012829754,0.06685600343441678,0.02767372016515424,56,0.6785714285714286
aggressive,0.15,0.043830633571122456,0.017984865345433754,-0.07740673527322658,0.30896737875233005,0.23234238315246908,55,0.6545454545454545
aggressive,0.2,0.011864218143537145,0.004912940340158656,-0.07984671208862844,0.11258686268408226,0.06152965114838265,53,0.6415094339622641
aggressive,0.25,0.013660102091949957,0.005653671674689997,-0.0819787345952395,0.1237437005912214,0.06896510055448338,51,0.6666666666666666
aggressive,0.3,-0.0043324623990006516,-0.0018025483555097477,-0.0898214338530656,0.0033560288297997095,-0.020068131604962427,52,0.6538461538461539
