date,equity
2025-09-16,109052.48065178875
2025-09-17,109071.84213936725
2025-09-18,109210.92790525948
2025-09-19,108986.1731064161
2025-09-22,109082.87864417261
2025-09-23,109088.07689710327
2025-09-24,109492.98405722385
2025-09-25,109765.76302191727
2025-09-26,110159.83707568358
2025-09-29,110324.78805928072
2025-09-30,110522.29371898818
2025-10-01,109983.8661784869
2025-10-02,110308.85582793209
2025-10-03,110357.00657738007
2025-10-06,110547.67618729842
2025-10-07,110594.07175505863
2025-10-08,111419.52210695166
2025-10-09,110687.32784566969
2025-10-10,110249.28601075488
2025-10-13,110471.41208812273
2025-10-14,110841.62184211446
2025-10-15,110757.41901102505
2025-10-16,110754.7233139319
2025-10-17,110413.0569340765
2025-10-20,110974.66484011647
2025-10-21,111006.03452288329
2025-10-22,112116.23658731882
2025-10-23,112518.39082588271
2025-10-24,113210.9987570604
2025-10-27,113798.24716750541
2025-10-28,114193.66600924483
2025-10-29,114545.37126671405
2025-10-30,114750.80324364064
2025-10-31,114607.95909848248
2025-11-03,114779.8699020872
2025-11-04,115120.39158873894
2025-11-05,116012.00481483105
2025-11-06,115695.14775760796
2025-11-07,115631.26451018626
2025-11-10,116235.75405121577
2025-11-11,116229.55991175848
2025-11-12,115534.56849773835
2025-11-13,115366.25537299819
2025-11-14,114838.48490100155
2025-11-17,114671.70890345286
2025-11-18,114198.62412914206
2025-11-19,113570.87870293218
2025-11-20,113505.95178523957
2025-11-21,113760.06521158348
2025-11-24,112970.67717691089
2025-11-25,113057.58907928715
2025-11-26,113403.09669083195
2025-11-27,113410.60735346367
2025-11-28,113293.38416696826
2025-12-01,112686.21614488265
2025-12-02,113437.61449574224
2025-12-03,113890.58922057733
2025-12-04,114457.93617622329
2025-12-05,113748.69209066698
2025-12-08,113629.23955334014
2025-12-09,113526.8560922615
2025-12-10,113453.57368568119
2025-12-11,113795.57046748127
2025-12-12,113618.83739743024
2025-12-15,114184.87933164665
2025-12-16,113713.56205966468
2025-12-17,114356.14542490702
2025-12-18,114880.3861423212
2025-12-19,115207.57100940886
2025-12-22,114532.38792225096
2025-12-23,114836.11750437712
2025-12-24,114802.19317506041
2025-12-29,114797.34171663971
2025-12-30,115758.07621493541
2025-12-31,115901.99319571396
2026-01-02,116418.26056210154
2026-01-05,118091.50047448855
2026-01-06,119140.91385902981
2026-01-07,118765.67013302268
2026-01-08,118980.59131583587
