comparison,statistic,observed_diff,p_value,n_days
ensemble_vs_lstm,total_return,-0.1268304307725725,0.879012098790121,444
ensemble_vs_lstm,sharpe,-0.11879172388074366,0.5826417358264173,444
lstm_vs_buy_and_hold,total_return,0.021414677851052,0.41125887411258877,444
lstm_vs_buy_and_hold,sharpe,0.3670820153195482,0.16028397160283972,444
