variant,agents,total_return,cagr,max_drawdown,sharpe,calmar_ratio,num_trades,win_rate
all,macd|rsi|roc|bollinger|ma_trend,0.14066592451236984,0.07825821329598392,-0.06627052060911275,1.374309625558214,1.1808902748414922,55,0.7818181818181819
no_macd,rsi|roc|bollinger|ma_trend,0.16319939914457934,0.09040164327205158,-0.06652611527602931,1.4665647286436767,1.358889556333753,30,0.7666666666666667
no_rsi,macd|roc|bollinger|ma_trend,0.13936138675452545,0.07755206369173995,-0.03478941666555085,1.4487195381908766,2.22918551458592,17,0.4117647058823529
no_roc,macd|rsi|bollinger|ma_trend,0.16200393282155395,0.08975993939411797,-0.0679817073991598,1.483411040175716,1.3203542957090737,56,0.7857142857142857
no_bollinger,macd|rsi|roc|ma_trend,0.14066592451236984,0.07825821329598392,-0.06627052060911275,1.374309625558214,1.1808902748414922,55,0.7818181818181819
no_ma_trend,macd|rsi|roc|bollinger,0.11272109442187139,0.06305517355537327,-0.06237714493983565,1.2277979151869018,1.0108698244556014,54,0.7407407407407407
only_macd,macd,0.1519551717052252,0.08435475299825379,-0.031411164086753984,1.6833353206469455,2.6855022871892227,20,0.4
only_rsi,rsi,0.147883137714633,0.08215868729647813,-0.05619745431376559,1.4632926144665883,1.4619645729460262,29,0.7586206896551724
only_roc,roc,0.0,0.0,0.0,0.0,0.0,0,0.0
only_bollinger,bollinger,0.0,0.0,0.0,0.0,0.0,0,0.0
only_ma_trend,ma_trend,0.008950288755749934,0.0051142087223716715,-0.002962711244250095,0.917740170106497,1.7261920925628889,0,0.0
