comparison,statistic,observed_diff,p_value,n_days
ensemble_vs_gbm,total_return,-0.20581491386740614,0.950904909509049,444
ensemble_vs_gbm,sharpe,-0.2577648464702047,0.6817318268173183,444
gbm_vs_buy_and_hold,total_return,0.10039916094588563,0.143985601439856,444
gbm_vs_buy_and_hold,sharpe,0.5060551379090092,0.0902909709029097,444
gbm_vs_lstm,total_return,0.07898448309484074,0.08259174082591741,444
gbm_vs_lstm,sharpe,0.13897312258948347,0.27517248275172485,444
